*HD111721h
*
*  Heap STIS not version 2
set .z.units = "Ergs/s/cm**2/A"
set .z.label = "Flux"
set .table.bandwidth = 2.74
*
     4865.26    2.18143E-12
     4868.00    2.28882E-12
     4870.74    2.26915E-12
     4873.48    2.29002E-12
     4876.22    2.32379E-12
     4878.96    2.34118E-12
     4881.70    2.34297E-12
     4884.44    2.32245E-12
     4887.18    2.31002E-12
     4889.92    2.28551E-12
     4892.66    2.34639E-12
     4895.40    2.41941E-12
     4898.14    2.41005E-12
     4900.88    2.38199E-12
     4903.62    2.37566E-12
     4906.36    2.38763E-12
     4909.10    2.35978E-12
     4911.84    2.35555E-12
     4914.58    2.38292E-12
     4917.32    2.34363E-12
     4920.06    2.26883E-12
     4922.80    2.27171E-12
     4925.54    2.34034E-12
     4928.28    2.39645E-12
     4931.02    2.39246E-12
     4933.76    2.33997E-12
     4936.50    2.31336E-12
     4939.24    2.31976E-12
     4941.98    2.36730E-12
     4944.72    2.41441E-12
     4947.46    2.41731E-12
     4950.20    2.43087E-12
     4952.94    2.43713E-12
     4955.68    2.36636E-12
     4958.42    2.33138E-12
     4961.16    2.39243E-12
     4963.90    2.42039E-12
     4966.64    2.39502E-12
     4969.38    2.35456E-12
     4972.12    2.38084E-12
     4974.86    2.42214E-12
     4977.60    2.38895E-12
     4980.34    2.32121E-12
     4983.08    2.26872E-12
     4985.82    2.29553E-12
     4988.56    2.36013E-12
     4991.30    2.35541E-12
     4994.04    2.34981E-12
     4996.78    2.37204E-12
     4999.52    2.34589E-12
     5002.26    2.31748E-12
     5005.00    2.29133E-12
     5007.74    2.28593E-12
     5010.48    2.30369E-12
     5013.22    2.24088E-12
     5015.96    2.24868E-12
     5018.70    2.29774E-12
     5021.44    2.30605E-12
     5024.18    2.33341E-12
     5026.92    2.35686E-12
     5029.66    2.36470E-12
     5032.40    2.37844E-12
     5035.14    2.34449E-12
     5037.88    2.27941E-12
     5040.62    2.23915E-12
     5043.36    2.28508E-12
     5046.10    2.36983E-12
     5048.84    2.36066E-12
     5051.58    2.35334E-12
     5054.32    2.39410E-12
     5057.06    2.42452E-12
     5059.80    2.41865E-12
     5062.54    2.39615E-12
     5065.28    2.35627E-12
     5068.02    2.36788E-12
     5070.76    2.39229E-12
     5073.50    2.36629E-12
     5076.24    2.35727E-12
     5078.98    2.30941E-12
     5081.72    2.27975E-12
     5084.46    2.33510E-12
     5087.20    2.38273E-12
     5089.94    2.40128E-12
     5092.68    2.41226E-12
     5095.42    2.39673E-12
     5098.16    2.34529E-12
     5100.90    2.33931E-12
     5103.64    2.37565E-12
     5106.38    2.34355E-12
     5109.12    2.30647E-12
     5111.86    2.34741E-12
     5114.60    2.39193E-12
     5117.34    2.40168E-12
     5120.08    2.39341E-12
     5122.82    2.34860E-12
     5125.56    2.31276E-12
     5128.30    2.31680E-12
     5131.04    2.33286E-12
     5133.78    2.35164E-12
     5136.52    2.31844E-12
     5139.26    2.27027E-12
     5142.00    2.27578E-12
     5144.74    2.30390E-12
     5147.48    2.33071E-12
     5150.22    2.32272E-12
     5152.96    2.31851E-12
     5155.70    2.35077E-12
     5158.44    2.38712E-12
     5161.18    2.37913E-12
     5163.92    2.31573E-12
     5166.66    2.14539E-12
     5169.40    2.05310E-12
     5172.14    2.08809E-12
     5174.88    2.19307E-12
     5177.62    2.35470E-12
     5180.36    2.31877E-12
     5183.10    2.16556E-12
     5185.84    2.15417E-12
     5188.58    2.28478E-12
     5191.32    2.27127E-12
     5194.06    2.26594E-12
     5196.80    2.31517E-12
     5199.54    2.34018E-12
     5202.28    2.32138E-12
     5205.02    2.27659E-12
     5207.76    2.25535E-12
     5210.50    2.30429E-12
     5213.24    2.35958E-12
     5215.98    2.36148E-12
     5218.72    2.37793E-12
     5221.46    2.40357E-12
